"","A1-30_1","A1-30_2","A1-30_3","A1-22_1","A1-22_2","A1-22_3","WT-30_1","WT-30_2","WT-30_3","WT-22_1","WT-22_2","WT-22_3"
"E9Q3E1|AL3B2_MOUSE",14.6863260888545,14.8319079117492,14.8907898946205,15.5118479450744,15.2729179015918,15.6563303620933,14.6769410544545,13.5902635299792,15.2535001359087,16.2133184202527,15.1128494013553,14.8401201930512
"E9Q414|APOB_MOUSE",15.2767690382964,14.8774803719538,14.3545106332268,15.3193777382292,15.812969446932,14.8998680071854,15.228742947018,14.6493402798748,15.3463656263247,14.7666510604416,14.2344975034633,15.6383493066973
"E9Q4Z2|ACACB_MOUSE",18.0360620784694,18.2101292326044,18.2542303823428,19.7985761226199,17.6072478014874,23.4654128295075,19.579723350787,17.7071548634539,17.2489673013111,18.2326690470621,17.050274659993,17.5645143758836
"E9Q5C9|NOLC1_MOUSE",17.5893197789414,18.1665929666703,18.0893083833054,17.1161939773312,17.9786100326334,18.2937309496086,18.2104070918156,17.3707607859789,16.3719647098352,16.3901803783866,17.2062552791173,15.9397336952497
"E9Q5K9|YTDC1_MOUSE",15.2571081018749,13.9616528077991,16.979756757361,15.8244506955785,15.7347608946776,15.7796374164781,15.2534829989394,14.9444860503965,15.0446687824837,15.420453058328,15.8639806388523,15.9059301934553
"E9Q5R7|NAL12_MOUSE",12.38098912686,14.2212152229171,14.4044642429619,11.2762344647461,12.2833523243441,11.9222489241069,15.4480094160263,14.8190969344483,15.7389232803361,14.5764206901349,12.9487787717324,14.3989677598085
"E9Q634|MYO1E_MOUSE",15.4937818181399,11.0343202770004,15.6467932527821,15.4009060130517,15.588855853526,15.7385721630818,16.0713203151309,15.0859141048949,16.1733874752677,14.8872826465938,15.3963775695916,15.8032949054017
"E9Q6D8|CO6_MOUSE",12.3845611780623,11.39627655213,9.82603042227662,12.5505594633165,11.812385109244,11.124981889004,10.03863220458,9.94100783261266,10.1641386252621,9.33322580578988,9.59467051064597,10.9871915912279
"E9Q6I0|V2116_MOUSE",15.052482804299,13.3443845477053,14.699787854652,15.125908141593,15.6377610484736,14.3212223542542,14.1210144293184,13.8947245609854,14.2568427510702,14.0534171841752,14.9084011590711,14.7536838672679
"E9Q6P5|TTC7B_MOUSE",12.1055810175952,12.2981200623825,14.5491294596059,14.9321788369635,16.2775144381675,14.0546629029414,13.6912763557589,14.2829517458521,15.998071052431,14.4801395039095,11.1172675102832,13.975033983919
"E9Q7G0|NUMA1_MOUSE",17.2966815384063,16.7349838829513,16.5614438368411,16.8172248936254,16.8031426372994,15.3987258251181,16.0731871851952,16.3302756506265,16.8478877507699,15.721727773633,16.033905704802,15.6938407272391
